User_ID,Product_ID,Category,Price,Wishlist_Count,Return_History,Days_to_Return,Product_Rating,Return_Status
9726,P372,Sports,2046,24,1,8,4.5,0
1695,P429,Beauty,1252,22,0,19,3.4,0
1176,P821,Home,906,26,0,12,3.3,1
1853,P404,Fashion,4725,1,0,12,1.2,0
1726,P642,Electronics,2111,34,0,17,1.5,0
2079,P753,Fashion,2594,26,0,9,4.0,0
1282,P928,Electronics,919,15,1,29,4.6,0
4947,P357,Home,828,19,1,18,2.0,1
2665,P300,Electronics,3328,34,1,14,2.5,0
7503,P479,Sports,2504,44,1,24,1.7,0
3834,P760,Fashion,489,44,1,18,4.5,0
7968,P618,Beauty,2544,15,1,5,1.8,1
9189,P110,Fashion,4265,19,0,19,2.1,1
5947,P110,Sports,1940,33,1,8,3.9,1
5896,P584,Sports,2611,14,1,6,1.4,0
7818,P627,Fashion,1989,33,0,-1,4.6,1
8666,P536,Sports,2675,45,1,5,4.2,0
3381,P408,Beauty,4952,11,1,27,4.6,1
6186,P944,Electronics,4993,47,1,4,1.9,0
4441,P403,Sports,4346,43,0,19,3.8,0
1294,P671,Sports,1564,12,0,15,3.0,1
2873,P622,Home,4666,6,1,27,4.3,1
6666,P927,Beauty,221,33,1,19,3.9,0
7588,P473,Electronics,2300,4,1,27,4.1,1
7556,P455,Electronics,4859,3,0,28,3.9,1
4523,P425,Sports,1339,35,1,5,1.3,1
2740,P269,Sports,3650,10,1,14,2.6,1
9573,P978,Home,4705,49,0,13,1.9,1
4869,P988,Sports,3370,10,0,11,2.1,1
2128,P105,Home,841,40,1,15,2.6,0
8035,P686,Beauty,303,30,1,12,2.5,0
9127,P818,Electronics,1795,43,0,4,3.6,1
4408,P205,Home,2292,16,1,3,4.7,1
4485,P697,Sports,3681,7,1,2,1.2,0
2507,P193,Home,2273,3,0,15,4.6,1
6290,P419,Beauty,3534,41,1,24,4.9,0
7611,P868,Beauty,1692,39,0,8,4.5,1
5160,P518,Fashion,1171,5,1,23,2.6,0
6547,P827,Electronics,2792,0,1,25,2.7,1
8936,P747,Sports,2652,0,1,5,1.6,1
3013,P147,Sports,2944,5,1,11,2.2,1
5272,P623,Electronics,278,27,1,24,3.7,0
8862,P457,Electronics,1719,41,0,0,2.2,1
2708,P976,Sports,2201,5,0,7,5.0,1
8249,P915,Fashion,4548,13,0,18,2.1,0
3053,P864,Beauty,3786,28,0,27,4.3,0
2789,P322,Sports,2018,29,1,3,1.2,1
4375,P325,Fashion,192,10,0,5,1.2,0
9003,P926,Sports,3999,26,1,20,2.5,1
6348,P356,Home,2655,15,0,1,2.5,0
9027,P206,Sports,1136,34,1,6,1.4,1
1657,P112,Electronics,3109,10,1,13,3.7,0
2927,P519,Beauty,538,11,1,0,2.4,1
6571,P994,Beauty,182,29,1,3,1.2,0
2655,P820,Fashion,1375,12,1,16,3.0,1
1010,P975,Home,108,9,0,-1,3.6,0
4219,P562,Home,2736,35,1,4,1.8,1
5244,P862,Home,4821,22,0,19,2.2,1
5438,P715,Sports,4537,17,0,9,3.3,0
7416,P378,Home,624,6,1,27,4.6,1
3518,P737,Electronics,3599,31,1,18,3.3,1
4624,P883,Beauty,414,35,1,20,1.2,1
8195,P237,Fashion,3281,25,1,4,2.5,0
9682,P318,Beauty,742,16,1,15,3.8,1
2149,P769,Beauty,4254,14,0,21,1.3,1
5029,P462,Home,2320,45,0,1,1.4,1
7354,P366,Home,1361,39,0,12,3.9,1
4046,P178,Electronics,539,40,0,6,1.6,0
8769,P413,Electronics,1839,2,0,19,2.4,1
2346,P658,Fashion,2595,49,0,3,3.8,1
3259,P635,Fashion,3748,27,1,29,3.4,0
7220,P896,Electronics,3026,21,1,9,2.0,0
6325,P819,Home,3643,8,1,7,1.8,1
2476,P659,Fashion,2676,44,1,2,3.8,0
9251,P250,Sports,4679,29,1,6,1.7,0
5078,P634,Home,1721,11,1,29,1.6,0
6288,P581,Home,2125,23,1,20,4.0,1
9164,P901,Beauty,2148,10,0,12,1.5,0
9461,P124,Sports,4230,28,0,23,1.9,1
1618,P154,Sports,4213,35,0,3,3.5,0
6560,P805,Home,2991,18,0,14,2.5,0
4393,P654,Home,109,27,1,7,3.2,1
4389,P627,Beauty,328,41,0,0,3.7,1
6332,P604,Electronics,432,20,1,4,1.6,1
7971,P425,Beauty,4776,29,0,22,1.8,0
2437,P793,Home,1959,36,0,4,3.7,0
2089,P477,Electronics,1355,32,1,21,3.0,0
8486,P138,Fashion,1250,15,1,-1,3.9,0
4315,P673,Electronics,2760,21,0,23,3.4,1
7411,P961,Fashion,3064,14,1,3,2.0,1
5322,P222,Home,391,28,1,10,3.1,1
6787,P453,Electronics,315,44,1,13,2.9,1
9278,P147,Beauty,3216,20,1,0,3.2,0
9825,P882,Electronics,1842,7,1,13,4.1,1
2629,P390,Home,4885,10,1,14,3.0,0
8079,P898,Fashion,4176,14,0,28,4.0,0
1521,P865,Fashion,4355,2,1,26,2.7,1
9355,P559,Electronics,828,13,0,22,4.1,0
2989,P151,Electronics,579,43,0,9,4.0,0
4112,P208,Electronics,2913,7,1,22,4.9,1
1776,P219,Sports,3699,9,0,28,1.1,0
6612,P993,Electronics,2937,47,1,6,3.8,0
1674,P526,Fashion,3975,3,1,26,4.0,1
8341,P890,Home,615,22,0,12,1.6,1
2220,P136,Fashion,3970,11,0,5,3.2,0
4808,P571,Home,2483,44,0,20,4.1,0
3019,P422,Fashion,4715,28,0,4,2.2,1
1880,P967,Beauty,2801,33,0,24,3.8,0
2661,P510,Sports,1246,40,1,5,3.0,0
5777,P574,Beauty,2269,36,0,11,2.2,0
2961,P431,Fashion,773,1,0,15,3.3,0
4454,P578,Electronics,2933,25,1,9,4.1,1
4901,P975,Fashion,1708,9,0,-1,4.2,0
3529,P922,Sports,582,22,1,25,3.7,0
8382,P608,Sports,3030,47,1,26,4.7,0
7335,P155,Beauty,4537,27,0,5,3.5,1
3182,P660,Beauty,1462,24,0,7,1.6,0
8579,P854,Beauty,118,33,0,26,2.6,0
7856,P594,Sports,594,45,0,28,4.7,1
8797,P464,Beauty,4964,1,1,7,1.3,1
6401,P639,Fashion,421,38,1,2,3.9,1
4423,P886,Beauty,2650,11,1,27,3.5,1
8787,P207,Home,1406,29,1,24,1.9,1
6077,P799,Beauty,3604,8,0,18,1.3,1
1578,P171,Fashion,929,25,0,27,3.9,1
9457,P479,Beauty,4688,22,1,13,1.8,0
3865,P495,Electronics,1143,18,0,14,4.0,0
1779,P682,Home,676,15,0,20,3.0,0
8367,P218,Fashion,1494,2,1,24,1.4,0
2530,P786,Electronics,1009,39,0,24,4.4,1
5211,P164,Electronics,4863,46,0,0,4.6,0
4075,P968,Sports,3586,7,1,21,1.1,1
3933,P798,Beauty,4639,46,0,22,2.5,0
5270,P977,Electronics,689,25,1,19,4.7,1
1593,P121,Sports,4595,34,0,2,1.2,1
2961,P584,Electronics,1686,45,1,12,4.9,1
9812,P963,Fashion,3189,29,0,3,3.8,1
1130,P286,Electronics,4978,27,0,26,4.8,1
2639,P793,Sports,3060,30,0,24,3.8,1
1416,P458,Electronics,4266,40,0,5,2.2,1
2007,P547,Fashion,355,8,0,11,2.7,0
2227,P440,Electronics,2691,3,0,22,2.9,0
9115,P658,Beauty,3991,18,0,27,3.6,1
9312,P836,Sports,3296,7,1,22,2.8,0
5299,P684,Beauty,2749,0,0,21,3.3,1
4583,P680,Beauty,1098,38,1,4,1.8,0
7257,P933,Beauty,3129,7,0,11,1.4,1
4797,P890,Fashion,4540,25,1,22,2.5,1
7719,P833,Beauty,2357,43,0,9,1.3,0
7492,P537,Fashion,2802,22,0,13,3.5,0
3339,P649,Sports,1589,47,1,25,2.1,1
8299,P666,Electronics,4873,46,0,21,3.6,0
1281,P425,Fashion,4007,4,0,4,2.6,0
4456,P244,Fashion,1427,27,0,2,2.9,1
6124,P925,Beauty,169,19,0,25,1.9,0
3324,P314,Beauty,633,16,0,13,2.5,0
